Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType, Amount in USD ,,,,
16-03-2017,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed,200000,,,,
16-03-2017,mPaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private Equity,1350000,,,,
16-03-2017,POPxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private Equity,3100000,,,,
21-03-2017,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private Equity,3670000,,,,
21-03-2017,MyGlamm,Consumer Internet,On-Demand Beauty Services,Mumbai,L  Occitane,Private Equity,5300000,,,,
21-03-2017,Flipkart,ECommerce,ECommerce Marketplace,Bengaluru,"Microsoft, eBay, Tencent Holdings",Private Equity,1400000000,,,,
22-03-2017,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bengaluru,"Ravi Saxena, Sandeep Raju,",Seed,191000,,,,
23-03-2017,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",Private Equity,15000000,,,,
23-03-2017,Markets and Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private Equity,56000000,,,,
24-03-2017,Bizom,Technology,supply chain automation platform,Bengaluru,Ojas Ventures,Seed,382000,,,,
24-03-2017,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private Equity,100000000,,,,
28-03-2017,DoneThing,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private Equity,300000,,,,
28-03-2017,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private Equity,500000,,,,
29-03-2017,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bengaluru,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed,50000,,,,
29-03-2017,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed,325000,,,,
29-03-2017,perpule,ECommerce,Self-Checkout ECommerce App,Bengaluru,KStart Capital,Seed,650000,,,,
29-03-2017,Licious,ECommerce,Online Meat Ordering platform,Bengaluru,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private Equity,10000000,,,,
31-03-2017,Jhakaas,Consumer Internet,Offline Business Aggregator App,Mumbai,"Malini Patel, Stelcore Management Services, Anjani Prasad",Seed,155000,,,,
31-03-2017,Oriano Solar,Technology,Turnkey Solar Solutions,Mumbai,Samridhi Fund,Private Equity,3000000,,,,
31-03-2017,BigBasket,ECommerce,Online Grocer,Bengaluru,Trifecta Capital,Private Equity,7000000,,,,
31-03-2017,Icertis,Technology,ERP solutions provider,Pune,"B Capital Group, Ignition Partners, Greycroft, e.ventures,\\xc2\\xa0 Eight Roads Ventures",Private Equity,25000000,,,,
01-04-2017,Cashe,Consumer Internet,Online & Mobile based Lending platform,Mumbai,"Mathew Cyriac, Florintree Advisors,",Private Equity,3800000,,,,
03-04-2017,Eruditus,Education,Executive Education Provider,Mumbai,Bertelsmann India,Private Equity,8200000,,,,
03-04-2017,Healthcare at Home,Healthcare,Home Healthcare Provider,Noida,Quadria Capital Advisors,Private Equity,40000000,,,,
04-04-2017,Trukky,Consumer Internet,Online Truck Aggregator & Booking platform,Ahmedabad,"Keyur Joshi, Pavan Bakeri",Seed,500000,,,,
04-04-2017,Konsult App,Consumer Internet,App based Doctor Consulting platform,New Delhi,"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",Seed,500000,,,,
04-04-2017,WayCool,Food & Beverage,Fresh-Produce Distribution Platform,Chennai,Aspada Investments,Private Equity,2700000,,,,
04-04-2017,Whatfix,Technology,Interactive Tech-Support Guides,Bengaluru,"Stellaris Venture Partners, Helion Venture Partners, Powerhouse Ventures, Gokul Rajaram, Girish Mathrubootham, Aneesh Reddy, Vispi Daver",Private Equity,3690000,,,,
04-04-2017,Perfios,Technology,Fin-Tech Solutions,Bengaluru,Bessemer Venture Partners,Private Equity,6100000,,,,
04-04-2017,ElastiRun,Technology,App based Logistics & Distribution platform,Pune,"Kalaari Capital, Norwest Venture Partners",Private Equity,7000000,,,,
05-04-2017,Fingerlix,Consumer Internet,Food Delivery Platform,Mumbai,Zephyr Peacock India,Private Equity,3000000,,,,
06-04-2017,Mech Mocha,Consumer Internet,Mobile gaming startup,Bengaluru,"Accel Partners, Shunwei Capital",Private Equity,5000000,,,,
06-04-2017,Medwell Ventures,Healthcare,Home-Based Healthcare provider,Bengaluru,"Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,21000000,,,,
07-04-2017,PharmEasy,ECommerce,Online Pharmacy,Mumbai,"Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,",Private Equity,18000000,,,,
08-04-2017,FastFox,Consumer Internet,Online rental discovery platform,Gurgaon,"Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners",Private Equity,4600000,,,,
10-04-2017,Omnify,Technology,SaaS platform for SMEs,Bengaluru,"Rajan Anandan, L.D Sharma, Saurabh Arora",Seed,150000,,,,
10-04-2017,Capital Float,Consumer Internet,Online Lending Platform for SME,Bengaluru,Mahindra and Mahindra Financial Services,Private Equity,2300000,,,,
11-04-2017,MergerWare,Technology,Software solutions for M&As,Bengaluru,Philippe Bouchet,Seed,100000,,,,
11-04-2017,Ninjacart,ECommerce,B2B agri-marketing platform,Bengaluru,"Accel Partners, Nandan Nilekani  s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners",Private Equity,5500000,,,,
12-04-2017,Squadrun,Technology,Software-As-a-Service Platform,Noida,"Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures",Private Equity,2100000,,,,
12-04-2017,Clovia,ECommerce,Online lingerie & Sleepwear etailer,New Delhi,"Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal",Private Equity,4000000,,,,
12-04-2017,Emiza,Logistics,Third Party Logistics provider,Mumbai,"Mayfield, Nishant Rao, Dileep Nath",Private Equity,4500000,,,,
12-04-2017,HackerEarth,Consumer Internet,Online Skill Assessment Platform,Bengaluru,"DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach",Private Equity,4500000,,,,
13-04-2017,WeAreHolidays,Consumer Internet,Travel Packages & Planner marketplace,Gurgaon,"Urrshila Kerkar,",Private Equity,7700000,,,,
14-04-2017,Ola Cabs,Consumer Internet,Cab Aggregator App,Bengaluru,SIMI Pacific Pte,Private Equity,260000000,,,,
15-04-2017,Myly,Consumer Internet,Mobile App for Schools,Jaipur,mall Industries Development Bank of India (SIDBI),Seed,310000,,,,
17-04-2017,Snackible,Food & Beverage,Healthy Snacks manufacturer,Mumbai,"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",Seed,175000,,,,
17-04-2017,Be U Salons,Consumer Internet,Online Salon discovery & Booking Services,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed,620000,,,,
17-04-2017,CrediHealth,Consumer Internet,Online Medical Assistance platform,Gurgaon,"Tolaram Inc, Mountain Pine Capital",Private Equity,1500000,,,,
17-04-2017,LendingKart,Consumer Internet,Lending platform for small businesses,Ahmedabad,Anicut Capital,Private Equity,4650000,,,,
18-04-2017,Whodat,Technology,Markerless AR platform,Bengaluru,Ideaspring Capital,Private Equity,600000,,,,
18-04-2017,Absentia VR,Technology,Virtual Reality Startup,Bengaluru,Exfinity Venture Partners,Private Equity,1250000,,,,
18-04-2017,Innefu Security Consulting,Technology,Cyber Security solutions using AI,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,2000000,,,,
19-04-2017,IOTrek,Technology,IoT Platform for Bus,New Delhi,Undisclosed Investor,Seed,155000,,,,
20-04-2017,HolaChef,Consumer Internet,Online Food Delivery,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000,,,,
21-04-2017,Video Ken,Consumer Internet,Video Based Collaborative Learning,Bengaluru,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed,1000000,,,,
24-04-2017,Toppr,Consumer Internet,Learning mobile app for students,Mumbai,WGG International,Private Equity,3200000,,,,
24-04-2017,Faasos,Food & Beverage,QSR chain and online food delivery,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,6300000,,,,
24-04-2017,Oyo Rooms,Consumer Internet,Branded Budget Hotels Aggregator,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000,,,,
25-04-2017,The Office Pass,Consumer Internet,CoWorking Spaces booking platform,Gurgaon,"Arun Tadanki, Aditya Verma",Seed,245000,,,,
25-04-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,Trifecta Capital,Private Equity,3100000,,,,
26-04-2017,StalkBuyLove,ECommerce,Online fashion marketplace,New Delhi,Trifecta Capital,Private Equity,1000000,,,,
26-04-2017,Howdy Ventures,Consumer Internet,Public and Private Events creation app,Chennai,S. Xavier Britto,Seed,1500000,,,,
26-04-2017,Flytxt,Technology,Customer data analytics software,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000,,,,
26-04-2017,Awfis,Consumer Internet,Collaborative co-Working Spaces,Mumbai,Sequoia India,Private Equity,20000000,,,,
27-04-2017,iNurture,Consumer Internet,Online Educational courses,Bengaluru,BlackSoil Capital Pvt. Ltd,Private Equity,1500000,,,,
27-04-2017,Scootsy,Consumer Internet,On-Demand Food Delivery,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000,,,,
28-04-2017,Sepalika,Consumer Internet,Healthcare related content platform,New Delhi,Accel Partners,Seed,750000,,,,
01-05-2017,Power2SME,ECommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,10000000,,,,
01-05-2017,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,73700000,,,,
02-05-2017,ZippServe,Consumer Internet,Real estate risk assessment platform,Bengaluru,undisclosed investors,Seed,390000,,,,
02-05-2017,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed,1500000,,,,
02-05-2017,4tigo,Logistics,Truck Network company,Bengaluru,"Accel Partners, Nandan Nilekani,",Private Equity,10000000,,,,
03-05-2017,Sumeru,Technology,Software & Mobile development services,Bengaluru,undisclosed investors,Seed,1000000,,,,
03-05-2017,Ola,Consumer Internet,Cab Aggregation App,Bengaluru,"Falcon Edge Capital,\\xc2\\xa0 Capital Advisers",Private Equity,104500000,,,,
05-05-2017,Balance App,Consumer Internet,Money Savings & Management App,Bengaluru,Rainmatter,Seed,233000,,,,
08-05-2017,YepMe,ECommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,700000,,,,
08-05-2017,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed,1000000,,,,
08-05-2017,CureFit,Technology,Health-Tech Platform,Bengaluru,"Trifecta Capital Advisors LLP, Prathithi Investment Trust, RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,3200000,,,,
08-05-2017,Ace Turtle,Technology,Omni-Channel Platform,Bengaluru,"Vertex Ventures, C31 Ventures",Private Equity,5000000,,,,
09-05-2017,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed,50000,,,,
10-05-2017,Fourth Ambit,Consumer Internet,Community Building platform,Bengaluru,1Crowd,Seed,600000,,,,
10-05-2017,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,1400000,,,,
10-05-2017,Shopclues,ECommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,7700000,,,,
11-05-2017,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,4000000,,,,
12-05-2017,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,466000,,,,
12-05-2017,Aequm,ECommerce,Cloud ECommerce platform,Bengaluru,undisclosed investors,Seed,1000000,,,,
12-05-2017,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,5000000,,,,
15-05-2017,Zapty,Technology,Project Management tool,Bengaluru,IdeaSpring Capital,Seed,500000,,,,
16-05-2017,Fynd,ECommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,500000,,,,
16-05-2017,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,3000000,,,,
17-05-2017,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed,250000,,,,
17-05-2017,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,5300000,,,,
18-05-2017,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed,1000000,,,,
18-05-2017,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bengaluru,SoftBank Group,Private Equity,1400000000,,,,
19-05-2017,EzCred,Consumer Internet,Consumer Lending Platform,Bengaluru,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed,1000000,,,,
22-05-2017,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed,500000,,,,
22-05-2017,Delhivery,Logistics,Logistics Tech,New Delhi,Fosun International,Private Equity,30000000,,,,
23-05-2017,Box8,Consumer Internet,Food Delivery Platform,Mumbai,Trifecta Capital,Private Equity,1000000,,,,
23-05-2017,Magicpin,Consumer Internet,Hyperlocal discovery platform,Gurgaon,"Lightspeed Venture Partners, Vy Capital,",Private Equity,6600000,,,,
24-05-2017,GenNext Students,Consumer Internet,Online Tutoring Services,Mumbai,Undisclosed Investors,Seed,580000,,,,
25-05-2017,Aye Finance,Finance,Non-Banking Financial Company,Gurgaon,Blue Orchard,Private Equity,8000000,,,,
29-05-2017,Collateral Medical,ECommerce,Online Medical equipment supplier,Mumbai,Carpediem Capital,Private Equity,3500000,,,,
30-05-2017,Supr Daily,Consumer Internet,Subscription based delivery platform,Mumbai,"Soma Capital, Great Oaks Ventures, 122 West Ventures",Private Equity,1500000,,,,
30-05-2017,Swiggy,Consumer Internet,Online food delivery platform,Bengaluru,"Nasper, Accel India, SAIF Partners, Bessemer Venture Partners, Harmony Partners, Norwest Venture Partners",Private Equity,80000000,,,,
31-05-2017,SastaSundar,ECommerce,Online Pharmacy,Kolkata,Rohto Pharmaceutical,Private Equity,5000000,,,,
31-05-2017,Magicpin,Consumer Internet,Hyperlocal Discovery\\xc2\\xa0 & Rewards platform,Gurgaon,"Lightspeed India Partners, Waterbridge Ventures",Private Equity,7000000,,,,
02-06-2017,RentOnGo,ECommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bengaluru,TVS Motor Company,Seed,234000,,,,
05-06-2017,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,50000000,,,,
06-06-2017,Spinny,ECommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,1000000,,,,
06-06-2017,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed,1000000,,,,
06-06-2017,BHIVE Workspace,Consumer Internet,co-working spaces,Bengaluru,Blume Ventures,Private Equity,1200000,,,,
07-06-2017,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed,600000,,,,
07-06-2017,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed,650000,,,,
08-06-2017,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed,232000,,,,
08-06-2017,Stockal,Consumer Internet,App-based Investment advisory Services,Bengaluru,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed,350000,,,,
08-06-2017,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,1500000,,,,
08-06-2017,ABI Health,Technology,Unified Digital Health Platform,Bengaluru,Norwest Venture Partners,Private Equity,1500000,,,,
09-06-2017,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed,250000,,,,
09-06-2017,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed,300000,,,,
12-06-2017,Boxx.ai,Technology,Artificial Intelligence,Bengaluru,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,500000,,,,
12-06-2017,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed,776000,,,,
12-06-2017,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,1000000,,,,
12-06-2017,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,7800000,,,,
12-06-2017,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,15000000,,,,
13-06-2017,Goodera,Technology,CSR and sustainability management platform,Bengaluru,"Nexus Venture Partners, Omidyar Network",Private Equity,5500000,,,,
14-06-2017,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed,500000,,,,
14-06-2017,Ola,Consumer Internet,Cab Aggregation App,Bengaluru,Tekne Capital Management LLC,Private Equity,50000000,,,,
15-06-2017,MoneyTap,Consumer Internet,Money Lending platform,Bengaluru,"Sequoia India, NEA, Prime Venture Partners",Private Equity,12300000,,,,
16-06-2017,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed,100000,,,,
16-06-2017,Goodbox,ECommerce,Mobile SAAS ECommerce platform for SMEs,Bengaluru,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,1000000,,,,
16-06-2017,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed,2000000,,,,
19-06-2017,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,4000000,,,,
19-06-2017,Unbxd,Technology,Cloud-based product discovery platform,Bengaluru,Eight Roads Ventures,Private Equity,12500000,,,,
20-06-2017,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bengaluru,91maker.com,Seed,300000,,,,
20-06-2017,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,5200000,,,,
21-06-2017,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed,215000,,,,
21-06-2017,Fynd,ECommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,2400000,,,,
21-06-2017,Grow Fit,Consumer Internet,Health-Tech platform,Bengaluru,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,4500000,,,,
21-06-2017,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,31000000,,,,
22-06-2017,Explore Life traveling,Consumer Internet,Local homes booking platform,Bengaluru,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed,500000,,,,
22-06-2017,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,2000000,,,,
22-06-2017,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bengaluru,"General Catalyst, Founder Collective",Private Equity,4600000,,,,
23-06-2017,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed,1000000,,,,
23-06-2017,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,4000000,,,,
26-06-2017,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,4000000,,,,
26-06-2017,HUG Innovations,Technology,Gesture based\\xc2\\xa0 Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,5000000,,,,
26-06-2017,Flipkart,ECommerce,Online marketplace,Bengaluru,Naspers,Private Equity,71000000,,,,
27-06-2017,Spares Hub,ECommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed,311000,,,,
27-06-2017,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,5000000,,,,
28-06-2017,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bengaluru,"SAP.iO, Unilazer Ventures",Private Equity,2000000,,,,
28-06-2017,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,3000000,,,,
29-06-2017,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,1000000,,,,
30-06-2017,Tagos Design,Technology,in-video discovery platform,Bengaluru,Undisclosed Investors,Private Equity,5000000,,,,
30-06-2017,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,21000000,,,,
01-07-2017,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bengaluru,Reliance Corporate Advisory Services Ltd,Seed,1000000,,,,
03-07-2017,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,2600000,,,,
04-07-2017,Droom,ECommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,20000000,,,,
05-07-2017,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,1000000,,,,
05-07-2017,Jumbotail,ECommerce,online marketplace for food and grocery,Bengaluru,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,8500000,,,,
05-07-2017,Moglix,ECommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,12000000,,,,
07-07-2017,Clip App,Consumer Internet,Digital Media Video platform,Bengaluru,"India Quotient, Shunwei Capital",Seed,1000000,,,,
10-07-2017,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,3000000,,,,
11-07-2017,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed,464000,,,,
11-07-2017,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,2250000,,,,
12-07-2017,Innoviti,Technology,Digital payments solutions,Bengaluru,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,18500000,,,,
14-07-2017,QwikSpec,Technology,Construction site operations and analytics platform,Bengaluru,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed,540000,,,,
14-07-2017,Chumbak,ECommerce,Designer consumer products Marketplace,Bengaluru,Blacksoil Capital Pvt. Ltd,Private Equity,1700000,,,,
17-07-2017,Increff,Technology,Sales Solutions for Fashion Brands,Bengaluru,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed,2000000,,,,
17-07-2017,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,4000000,,,,
19-07-2017,Playablo,Technology,Gamified Learning App,Bengaluru,ABI-Showatech (India) Ltd,Seed,600000,,,,
19-07-2017,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bengaluru,"ain Capital Ventures, Renaud Laplanche",Private Equity,10000000,,,,
20-07-2017,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed,700000,,,,
21-07-2017,Brick2Wall,ECommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed,200000,,,,
25-07-2017,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bengaluru,"Stellaris Venture Partners,",Private Equity,1200000,,,,
25-07-2017,BYJUS,Consumer Internet,Mobile Learning App,Bengaluru,Tencent Holdings,Private Equity,35000000,,,,
26-07-2017,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bengaluru,"Indian Angel Network, Anand Mahindra",Seed,200000,,,,
26-07-2017,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,25000000,,,,
27-07-2017,1mg,ECommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,15000000,,,,
28-07-2017,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,1250000,,,,
01-08-2017,TouchKin,Technology,Predictive Care Platform,Bengaluru,Kae Capital,Private Equity,1300000,,,,
02-08-2017,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed,500000,,,,
02-08-2017,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed,850000,,,,
03-08-2017,SpeedBox,Logistics,On-Demand Logistics Service provider,Mumbai,Cismat Cargo Services Pvt. Ltd.,Seed,300000,,,,
08-08-2017,My Forex Eye,Consumer Internet,foreign exchange services,New Delhi,"Rahul Dev Kumar, Rajesh Mahajan, Ankit Sharma and others",Seed,220000,,,,
08-08-2017,New Castle Technologies,Technology,Hospital Management Software,Chennai,Undisclosed investors,Seed,243000,,,,
09-08-2017,CroFarm,Technology,Agriculture Supply Chain solutions,Gurgaon,Factor[e] Ventures,Seed,783000,,,,
09-08-2017,TruxApp,Logistics,Logistics Tech,New Delhi,"Venugopal Dhoot, Ajay Bhatia, Tarun Khandelwal, Ganpat Singhvi, Mandhian family & Others",Seed,3100000,,,,
11-08-2017,Ola Cabs,Consumer Internet,App based cab aggregation Service,Gurgaon,Tekne Capital Management,Private Equity,36000000,,,,
11-08-2017,Flipkart,ECommerce,Online Marketplace,Bengaluru,Softbank,Private Equity,2500000000,,,,
14-08-2017,Digilend,Technology,Personal Loans & EMI solutions platform,Mumbai,"InCred Finance, Fullerton India Credit Company Ltd",Seed,312000,,,,
15-08-2017,KNAB Finance,Consumer Internet,Unsecured Small Business Loans,Bengaluru,"InCred, Krishnakumar Natarajan, Ravi Bhardwaj",Seed,385000,,,,
