Date,Startup Name,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType, Amount in USD ,,,,
12-02-2016,ActOnMagic,Technology,Cloud Analytics and Management Products,Bengaluru,Jayabalan Subramanian,Seed,125000,,,,
12-02-2016,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed,1000000,,,,
12-02-2016,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Seed,1000000,,,,
12-02-2016,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,4000000,,,,
15-02-2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Mukesh Kumar Gupta,Seed,50000,,,,
15-02-2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bengaluru,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed,300000,,,,
15-02-2016,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Bengaluru,"Blume Ventures,\\xc2\\xa0 Tracxn Labs",Seed,500000,,,,
15-02-2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital",Private Equity,5000000,,,,
15-02-2016,Snapdeal,ECommerce,Horizontal Online Marketplace,New Delhi,Ontario Teachers   Pension Plan & Others,Private Equity,200000000,,,,
16-02-2016,BetterPlace,Technology,Data analytics based Verification services Platform,Bengaluru,Unitus Seed Fund,Seed,970000,,,,
16-02-2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bengaluru,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed,1000000,,,,
16-02-2016,icustommadeit,ECommerce,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000,,,,
17-02-2016,GameZop,Technology,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed,350000,,,,
17-02-2016,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,5000000,,,,
17-02-2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10000000,,,,
18-02-2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed,73000,,,,
18-02-2016,Careongo,ECommerce,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,Seed,300000,,,,
18-02-2016,Ark Robot,Technology,Warehouse Automation,Bengaluru,Qualcomm (Through QPrize Contest),Seed,350000,,,,
19-02-2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Seed,400000,,,,
19-02-2016,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,5000000,,,,
22-02-2016,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,Seed,37000,,,,
22-02-2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed,100000,,,,
22-02-2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bengaluru,Nitin Bagmane & Other undisclosed investors,Seed,1000000,,,,
22-02-2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,3000000,,,,
22-02-2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000,,,,
23-02-2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000,,,,
24-02-2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed,150000,,,,
24-02-2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bengaluru,Yajnanarayana Kammaje,Seed,160000,,,,
24-02-2016,AppilyEver,Consumer Internet,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed,400000,,,,
24-02-2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bengaluru,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,10000000,,,,
25-02-2016,Funcart,ECommerce,Party Supplies Etailer,New Delhi,Undisclosed HNIs,Seed,70000,,,,
25-02-2016,OfBusiness,ECommerce,B2B commerce Marketplace,Gurgaon,Matrix Partners India,Private Equity,5000000,,,,
25-02-2016,Juspay,Consumer Internet,Digital Payments solutions,Bengaluru,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,5800000,,,,
26-02-2016,Freedom Smart Labs,Technology,IoT retail solutions,New Delhi,Kapil Goel,Seed,145000,,,,
26-02-2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,2500000,,,,
29-02-2016,Hopscotch,ECommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,13000000,,,,
02-03-2016,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,600000,,,,
02-03-2016,Systemantics,Technology,Industrial robots maker,Bengaluru,"Nandan Nilekani, Accel Partners",Private Equity,1400000,,,,
03-03-2016,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Seed,500000,,,,
03-03-2016,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,1000000,,,,
04-03-2016,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Seed,100000,,,,
04-03-2016,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Seed,150000,,,,
04-03-2016,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,1000000,,,,
04-03-2016,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,4000000,,,,
07-03-2016,Medidaili,Consumer Internet,Medical Support service platform,Bengaluru,Undisclosed private investors,Seed,100000,,,,
07-03-2016,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Seed,250000,,,,
07-03-2016,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Seed,500000,,,,
07-03-2016,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bengaluru,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Seed,500000,,,,
07-03-2016,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bengaluru,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,3000000,,,,
08-03-2016,dunzo,Consumer Internet,Daily Task Management App,Bengaluru,"Aspada Investment Advisors, Blume Ventures.",Seed,650000,,,,
08-03-2016,LoveCycles,Consumer Internet,Women  s health Tracker,Bengaluru,Prime Venture Partners,Seed,750000,,,,
08-03-2016,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,8000000,,,,
09-03-2016,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Seed,400000,,,,
09-03-2016,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed,500000,,,,
09-03-2016,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Seed,1000000,,,,
09-03-2016,MyGubbi,Real Estate,Interior Design & Home D cor Solutions,Bengaluru,"Vipul Parekh, ajesh K Murthy,",Seed,2500000,,,,
10-03-2016,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,Seed,1000000,,,,
10-03-2016,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,11100000,,,,
10-03-2016,Icertis,Technology,Contract Management Software Solutions platform,Pune,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,15000000,,,,
14-03-2016,PinkBlue,ECommerce,Medical Supplies eTailer,Bengaluru,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed,223608,,,,
14-03-2016,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,Private Equity,14900000,,,,
15-03-2016,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed,150000,,,,
15-03-2016,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed,250000,,,,
15-03-2016,FlipClass,Consumer Internet,Tutor Search Platform,Bengaluru,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,1000000,,,,
16-03-2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bengaluru,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed,180000,,,,
16-03-2016,Wealthy,Consumer Internet,Online Investment management portal,Bengaluru,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed,250000,,,,
17-03-2016,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed,108000,,,,
17-03-2016,Pramati,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,Seed,200000,,,,
17-03-2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,Seed,230000,,,,
17-03-2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed,800000,,,,
18-03-2016,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,1500000,,,,
19-03-2016,goSporto,Consumer Internet,Online Sports discovery and booking platform,New Delhi,Naveen Gupta,Seed,30000,,,,
21-03-2016,Room On Call,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,2000000,,,,
22-03-2016,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed,360000,,,,
22-03-2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bengaluru,"Indian Angel Network, Tracxn Labs & Others",Seed,600000,,,,
22-03-2016,BYJUS,Consumer Internet,Educational Video Content Creator,Bengaluru,"Sequoia India, Sofina",Private Equity,75000000,,,,
22-03-2016,BigBasket,ECommerce,Online Grocery Shop,Bengaluru,Abraaj Group,Private Equity,150000000,,,,
23-03-2016,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed,100000,,,,
23-03-2016,SP Robotics,Technology,Robotic Classes for Students,Chennai,"Indian Angel Network,",Seed,300000,,,,
23-03-2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,330000,,,,
23-03-2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bengaluru,Broadbean Capital services,Private Equity,500000,,,,
24-03-2016,Horntell,Consumer Internet,Unified Push Notification service,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed,150000,,,,
